,Pay_Type_1,Pay_Type_2,Total_Payment
758,174.36,938.02,1112.3799999999999
759,93.24,349.57,442.81000000000006
760,95.89,676.83,772.72
761,509.54,85.94,595.48
762,164.6,41.919999999999995,206.51999999999998
763,300.0,0.0,300.0
764,852.21,0.0,852.21
765,752.0,250.0,1002.0
766,1290.05,405.0,1695.05
767,588.0,0.0,588.0
768,367.5,0.0,367.5
769,0.0,0.0,0.0
770,0.0,0.0,0.0
771,0.0,0.0,0.0
772,0.0,0.0,0.0
773,0.0,0.0,0.0
774,0.0,0.0,0.0
775,441.0,0.0,441.0
776,35.05,50.0,85.05
777,0.0,400.0,400.0
778,0.0,0.0,0.0
779,0.0,0.0,0.0
780,187.5,285.77,473.27
781,0.0,0.0,0.0
782,40.77,5.0,45.77
783,0.0,0.0,0.0
784,0.0,0.0,0.0
785,0.0,0.0,0.0
786,0.0,0.0,0.0
787,0.0,0.0,0.0
788,0.0,0.0,0.0
789,0.0,0.0,0.0
790,0.0,0.0,0.0
791,0.0,1015.0,1015.0
792,0.0,0.0,0.0
793,0.0,0.0,0.0
794,0.0,0.0,0.0
795,0.0,0.0,0.0
796,0.0,0.0,0.0
797,725.0,0.0,725.0
798,0.0,0.0,0.0
799,0.0,0.0,0.0
800,0.0,50.0,50.0
801,0.0,0.0,0.0
802,0.0,0.0,0.0
803,0.0,0.0,0.0
804,355.25,0.0,355.25
805,0.0,0.0,0.0
806,0.0,0.0,0.0
807,0.0,0.0,0.0
808,1597.6100000000001,0.0,1597.6100000000001
809,2205.0,100.0,2305.0
810,2940.0,0.0,2940.0
811,2205.0,372.75,2577.75
812,700.0,372.75,1072.75
813,1470.0,0.0,1470.0
814,2940.0,372.75,3312.75
815,735.0,0.0,735.0
816,2058.0,150.0,2208.0
817,7539.3099999999995,20.0,7559.3099999999995
818,3620.0,0.0,3620.0
819,2205.0,0.0,2205.0
820,1470.0,0.0,1470.0
821,735.0,0.0,735.0
822,720.3,0.0,720.3
823,735.0,0.0,735.0
824,0.0,0.0,0.0
825,0.0,25.0,25.0
826,0.0,0.0,0.0
827,0.0,0.0,0.0
828,0.0,0.0,0.0
829,402.78,0.0,402.78
830,0.0,0.0,0.0
831,0.0,0.0,0.0
832,0.0,0.0,0.0
833,0.0,0.0,0.0
834,23.61,0.0,23.61
835,23.61,0.0,23.61
836,47.22,0.0,47.22
837,23.61,0.0,23.61
838,23.61,0.0,23.61
839,23.61,0.0,23.61
840,23.61,0.0,23.61
841,18.88,4.82,23.7
842,38.81,0.0,38.81
843,240.0,0.0,240.0
844,0.0,0.0,0.0
845,75.0,0.0,75.0
846,0.0,0.0,0.0
847,0.0,0.0,0.0
848,300.0,0.0,300.0
849,0.0,0.0,0.0
850,0.0,0.0,0.0
851,0.0,0.0,0.0
852,0.0,0.0,0.0
853,0.0,0.0,0.0
854,0.0,0.0,0.0
855,0.0,0.0,0.0
856,0.0,0.0,0.0
857,0.0,0.0,0.0
858,0.0,0.0,0.0
859,0.0,0.0,0.0
860,0.0,0.0,0.0
861,0.0,0.0,0.0
862,0.0,0.0,0.0
863,0.0,0.0,0.0
864,0.0,0.0,0.0
865,0.0,0.0,0.0
866,0.0,0.0,0.0
867,0.0,0.0,0.0
868,0.0,0.0,0.0
869,0.0,0.0,0.0
870,0.0,0.0,0.0
871,0.0,0.0,0.0
872,0.0,0.0,0.0
873,0.0,0.0,0.0
874,0.0,0.0,0.0
875,0.0,0.0,0.0
876,0.0,0.0,0.0
877,0.0,0.0,0.0
878,0.0,0.0,0.0
879,0.0,0.0,0.0
880,0.0,0.0,0.0
881,0.0,0.0,0.0
882,0.0,0.0,0.0
883,0.0,0.0,0.0
884,0.0,0.0,0.0
885,0.0,0.0,0.0
886,0.0,0.0,0.0
887,0.0,0.0,0.0
888,0.0,0.0,0.0
889,0.0,0.0,0.0
890,0.0,0.0,0.0
891,0.0,0.0,0.0
892,0.0,0.0,0.0
893,0.0,0.0,0.0
894,0.0,0.0,0.0
895,0.0,0.0,0.0
896,0.0,0.0,0.0
897,0.0,0.0,0.0
898,0.0,0.0,0.0
899,0.0,0.0,0.0
900,0.0,0.0,0.0
901,0.0,0.0,0.0
902,0.0,0.0,0.0
903,0.0,0.0,0.0
904,0.0,0.0,0.0
905,0.0,0.0,0.0
906,0.0,0.0,0.0
907,0.0,0.0,0.0
908,0.0,0.0,0.0
909,0.0,0.0,0.0
910,0.0,0.0,0.0
911,0.0,0.0,0.0
912,0.0,0.0,0.0
913,0.0,0.0,0.0
914,0.0,0.0,0.0
915,0.0,0.0,0.0
916,0.0,0.0,0.0
917,0.0,0.0,0.0
918,0.0,0.0,0.0
919,0.0,0.0,0.0
920,0.0,0.0,0.0
921,0.0,0.0,0.0
922,0.0,0.0,0.0
923,0.0,0.0,0.0
